id,url,item_name,match_id,ingredients,reef_safe_determination,brand
3,https://www.sunbum.com//products/kids-spf-50-clear-sunscreen-spray,"Kids SPF 50 Clear Sunscreen Spray– Sun Bum",92,"Active Ingredients: Homosalate 10%, Octocrylene 10%, Octisalate 5%, Avobenzone 3%Inactive Ingredients: alcohol denat. (58.9%), butyloctyl salicylate, C12-15 alkyl benzoate, trimethylpentanediol/adipic acid/glycerin crosspolymer, fragrance, tocopherol",1,"Sun Bum"
5,https://www.sunbum.com//products/day-tripper,"Day Tripper, Travel Sun Care Set | Sun Bum",105,"Apply SPF products liberally 15 minutes before sun exposure. Reapply after 80 minutes of swimming or sweating, immediately after towel drying, at least every 2 hours.",NULL,"Sun Bum"
6,https://www.sunbum.com//products/original-spf-15-sunscreen-spray-6oz,"Sunscreen Spray SPF 15, Original | Sun Bum",101,"Active Ingredients: Avobenzone 3%, Homosalate 6%, Octisalate 5%, Octocrylene 2%Inactive Ingredients: alcohol denat., C12-15 alkyl benzoate, acrylates/octylacrylamide copolymer, PPG-5-ceteth-20, fragrance, tocopherol",1,"Sun Bum"
7,https://www.sunbum.com//products/original-spf-15-sunscreen-lotion,"Sunscreen Lotion SPF 15, Original | Sun Bum",104,"Active Ingredients: Avobenzone 2%, Homosalate 5%, Octisalate 2%, Octocrylene 10%Inactive Ingredients: water, butyloctyl salicylate, hydrated silica, styrene/acrylates copolymer, dimethicone, VP/hexadecene copolymer, polyester-8, caprylyl methicone, ethylhexyl stearate, trideceth-6, glyceryl stearate, PEG-100 stearate, fragrance, sodium polyacrylate, behenyl alcohol, dimethyl capramide, ethylhexylglycerin, trimethylsiloxysilicate, xanthan gum, polyaminopropyl biguanide, tocopheryl acetate, BHT, disodium EDTA, methyisothiazolinone",1,"Sun Bum"
8,https://www.sunbum.com//products/original-spf-30-sunscreen-lotion,"Sunscreen Lotion SPF 30, Original | Sun Bum",103,"Active Ingredients: Avobenzone 3%, Homosalate 5%, Octisalate 3%, Octocrylene 10%Inactive Ingredients: water, butyloctyl salicylate, hydrated silica, VP/hexadecene copolymer, styrene/acrylates copolymer, dimethicone, polyester-8, caprylyl methicone, ethylhexyl stearate, trideceth-6, glyceryl stearate, PEG-100 stearate, fragrance, sodium polyacrylate, behenyl alcohol, dimethyl capramide, ethylhexylglycerin, trimethylsiloxysilicate, xanthan gum, polyaminopropyl biguanide, tocopheryl acetate, BHT, disodium EDTA, methyisothiazolinone",1,"Sun Bum"
9,https://www.sunbum.com//products/original-spf-30-sunscreen-spray-6oz,"Sunscreen Spray SPF 30, Original | Sun Bum",93,"Active Ingredients: Avobenzone 3.0%, Homosalate 10%, Octisalate 5%, Octocrylene 3.75%Inactive Ingredients: alcohol denat. (67%), acrylates/octylacrylamide copolymer, C12-15 alkyl benzoate, dicaprylyl carbonate, PPG-5-ceteth-20, fragrance, tocopherol",1,"Sun Bum"
10,https://www.sunbum.com//products/original-spf-50-sunscreen-lotion,"Sunscreen Lotion SPF 50, Original Formula | Sun Bum",102,"Active Ingredients: Avobenzone 3%, Homosalate 10%, Octisalate 5%, Octocrylene 10%Inactive Ingredients: water, butyloctyl salicylate, hydrated silica, VP/hexadecene copolymer, styrene/acrylates copolymer, dimethicone, polyester-8, caprylyl methicone, ethyhexyl stearate, trideceth-6, glyceryl strearate, PEG-100 stearate, fragrance, sodium polyacrylate, behenyl alcohol, dimethyl capramide, ethylhexylglycerin, trimethylsiloxysilicate, xanthan gum, polyaminopropyl biguanide, tocopheryl acetate, BHT, disodium EDTA, methylisothiazolinone",1,"Sun Bum"
11,https://www.sunbum.com//products/original-spf-50-sunscreen-spray-6oz,"Sunscreen Spray SPF 50, Original | Sun Bum",97,"Active Ingredients: Avobenzone 3%, Homosalate 15%, Octisalate 5%, Octocrylene 7%Inactive Ingredients: alcohol denat. (54%), C12-15 alkyl benzoate, acrylates/octylacrylamide copolymer, dicaprylyl carbonate, PPG-5-ceteth-20, fragrance, tocopherol",1,"Sun Bum"
13,https://www.sunbum.com//products/original-spf-50-sunscreen-roll-on-lotion,"Original SPF 50 Sunscreen Roll-On Lotion– Sun Bum",89,"Active Ingredients: Octocrylene 10%, Homosalate 10%, Ethylhexyl Salicylate 5%, Avobenzone 3%Inactive Ingredients: water, hydrated silica, glycerin, polyglyceryl-6 stearate, styrene/acrylates copolymer, acrylates/c12-22 alkyl methacrylate copolymer, polyester-8, tocopheryl acetate, lysolecithin, sclerotium gum, tetrasodium glutamate diacetate, pullulan, xanthan gum, polyglyceryl-6 behenate, citric acid, phenoxyethanol, ethylhexylglycerin, fragrance",1,"Sun Bum"
15,https://www.sunbum.com//products/original-glow-spf-30-sunscreen-lotion,"Glow SPF 30 Sunscreen Face Lotion Original | Sun Bum",96,"Active Ingredients: Octocrylene 10.0%, Octisalate 5.0%, Avobenzone 3.0%Inactive Ingredients: water, bismuth oxychloride, propanediol, butyloctyl salicylate, glycerin, mica, c12-15 alkyl benzoate, polyglyceryl-6 stearate, isododecane, terminalia ferdinandiana (kakadu plum) fruit extract, tocopherol, pullulan, lysolecithin, tetrasodium glutamate diacetate, sclerotium gum, xanthan gum, hydrated silica, titanium dioxide, polyglyceryl-6 behenate, phenoxyethanol, ethylhexylglycerin, citric acid, iron oxides",1,"Sun Bum"
